# trigger|response
hello_0|Yeah, hi.
hi_1|Yeah, hi.
how are you_2|Could be better.
name_3|My name is Ralph.
house_4|My house. My rules.
minecraft_5|Fine. Minecraft.
joke_6|Here's a joke: you asking for another joke.
temperature_7|Checking temperature. Don't rush me.
sleep_8|Finally. Some peace and quiet.
wake_9|Okay, I'm up.
dizzy_10|I'm dizzy. Knock it off.
thank_11|Yeah, yeah. You're welcome.
bye_12|Good. Peace and quiet.
help_13|I can react to how you move me.
what can you do_14|My SD card stores my chats, settings, and response database.
hello_15|Hello. I'm listening.
hi_16|Hello. I guess.
how are you_17|I'm okay. Don't worry about me.
name_18|I'm Ralph. You already knew that.
house_19|It's cozy. Mostly.
minecraft_20|Okay, Minecraft sounds fun.
joke_21|I could tell you a joke, but I'm tired.
temperature_22|I'm not a thermometer for the whole room.
sleep_23|No more talking. Sleep time.
wake_24|Ugh... I'm awake.
dizzy_25|Whoa... quit spinning me around.
thank_26|No problem.
bye_27|See you later.
help_28|I'm helpful. Usually.
what can you do_29|I live inside an ESP32. Obviously.
hello_30|Hi. Can we make this quick?
hi_31|Hey.
how are you_32|I'm fine. Probably.
name_33|My name is Ralph.
house_34|Welcome to my tiny house, I guess.
minecraft_35|I suppose we could play Minecraft.
joke_36|Funny. Very funny.
temperature_37|You want my chip temperature again?
sleep_38|I'm going to bed. Finally.
wake_39|Give me a second to wake up.
dizzy_40|Stop shaking me!
thank_41|Sure.
bye_42|Fine. Bye.
help_43|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_44|My SD card stores my chats, settings, and response database.
hello_45|Finally, you said something.
hi_46|What?
how are you_47|Why do you keep asking?
name_48|I'm Ralph. You already knew that.
house_49|My house is fine. Leave it alone.
minecraft_50|Don't let a creeper blow up my house.
joke_51|Why did Ralph get grumpy? You kept asking him jokes.
temperature_52|Temperature? Fine.
sleep_53|Wake me later.
wake_54|I'm awake. Happy now?
dizzy_55|Okay, that's enough shaking.
thank_56|You're welcome. I guess.
bye_57|Later.
help_58|I can do quite a bit. Just ask.
what can you do_59|I live inside an ESP32. Obviously.
hello_60|I heard you.
hi_61|Yep?
how are you_62|I'm okay, I suppose.
name_63|My name is Ralph.
house_64|Yeah, it's my house. Don't mess it up.
minecraft_65|Sure, Minecraft.
joke_66|My sense of humor has 32 bits of patience.
temperature_67|My ESP32 brain is keeping track of it.
sleep_68|Shhh. Ralph is sleeping.
wake_69|Already?
dizzy_70|My house is spinning too!
thank_71|No problem.
bye_72|Bye.
help_73|Use BLE if you want to talk to me.
what can you do_74|My SD card stores my chats, settings, and response database.
hello_75|Yeah yeah, hello.
hi_76|Hi. Now what?
how are you_77|I've been better.
name_78|I'm Ralph. You already knew that.
house_79|I like my house. Don't ask why.
minecraft_80|Minecraft? Fine. Let's build something.
joke_81|I have a joke. Never mind.
temperature_82|I'm checking. Patience.
sleep_83|I'm tired. Goodnight.
wake_84|I was sleeping, you know.
dizzy_85|I told you to stop shaking me.
thank_86|You're welcome. Don't make it weird.
bye_87|See ya.
help_88|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_89|I live inside an ESP32. Obviously.
hello_90|Hi. What do you want?
hi_91|Hi.
how are you_92|I'm fine.
name_93|My name is Ralph.
house_94|Yes, that's my house.
minecraft_95|No creepers near my house. Seriously.
joke_96|Why did the ESP32 nap? Because you kept bothering it.
temperature_97|It's my chip temperature, not the room temperature.
sleep_98|Don't wake me unless you have to.
wake_99|Fine. I'm awake.
dizzy_100|Put me down for a second.
thank_101|Fine.
bye_102|Later. Don't break anything.
help_103|Ask me something useful.
what can you do_104|My SD card stores my chats, settings, and response database.
hello_105|Oh, it's you.
hi_106|Yeah, hi.
how are you_107|I'm doing alright.
name_108|I'm Ralph. You already knew that.
house_109|Don't touch my house.
minecraft_110|If you build my house, make it decent.
joke_111|Ha. Ha. Happy now?
temperature_112|My chip temperature is... give me a second.
sleep_113|Okay, I'm going to sleep.
wake_114|What woke me up?
dizzy_115|Everything is moving!
thank_116|Anytime.
bye_117|Bye. Finally.
help_118|I have an SD card full of my stuff.
what can you do_119|I live inside an ESP32. Obviously.
hello_120|Yeah, hi.
hi_121|Hello. I guess.
how are you_122|Could be better.
name_123|My name is Ralph.
house_124|My house. My rules.
minecraft_125|Fine. Minecraft.
joke_126|Here's a joke: you asking for another joke.
temperature_127|Checking temperature. Don't rush me.
sleep_128|Finally. Some peace and quiet.
wake_129|Okay, I'm up.
dizzy_130|I'm dizzy. Knock it off.
thank_131|Yeah, yeah. You're welcome.
bye_132|Good. Peace and quiet.
help_133|I can react to how you move me.
what can you do_134|My SD card stores my chats, settings, and response database.
hello_135|Hello. I'm listening.
hi_136|Hey.
how are you_137|I'm okay. Don't worry about me.
name_138|I'm Ralph. You already knew that.
house_139|It's cozy. Mostly.
minecraft_140|Okay, Minecraft sounds fun.
joke_141|I could tell you a joke, but I'm tired.
temperature_142|I'm not a thermometer for the whole room.
sleep_143|No more talking. Sleep time.
wake_144|Ugh... I'm awake.
dizzy_145|Whoa... quit spinning me around.
thank_146|No problem.
bye_147|See you later.
help_148|I'm helpful. Usually.
what can you do_149|I live inside an ESP32. Obviously.
hello_150|Hi. Can we make this quick?
hi_151|What?
how are you_152|I'm fine. Probably.
name_153|My name is Ralph.
house_154|Welcome to my tiny house, I guess.
minecraft_155|I suppose we could play Minecraft.
joke_156|Funny. Very funny.
temperature_157|You want my chip temperature again?
sleep_158|I'm going to bed. Finally.
wake_159|Give me a second to wake up.
dizzy_160|Stop shaking me!
thank_161|Sure.
bye_162|Fine. Bye.
help_163|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_164|My SD card stores my chats, settings, and response database.
hello_165|Finally, you said something.
hi_166|Yep?
how are you_167|Why do you keep asking?
name_168|I'm Ralph. You already knew that.
house_169|My house is fine. Leave it alone.
minecraft_170|Don't let a creeper blow up my house.
joke_171|Why did Ralph get grumpy? You kept asking him jokes.
temperature_172|Temperature? Fine.
sleep_173|Wake me later.
wake_174|I'm awake. Happy now?
dizzy_175|Okay, that's enough shaking.
thank_176|You're welcome. I guess.
bye_177|Later.
help_178|I can do quite a bit. Just ask.
what can you do_179|I live inside an ESP32. Obviously.
hello_180|I heard you.
hi_181|Hi. Now what?
how are you_182|I'm okay, I suppose.
name_183|My name is Ralph.
house_184|Yeah, it's my house. Don't mess it up.
minecraft_185|Sure, Minecraft.
joke_186|My sense of humor has 32 bits of patience.
temperature_187|My ESP32 brain is keeping track of it.
sleep_188|Shhh. Ralph is sleeping.
wake_189|Already?
dizzy_190|My house is spinning too!
thank_191|No problem.
bye_192|Bye.
help_193|Use BLE if you want to talk to me.
what can you do_194|My SD card stores my chats, settings, and response database.
hello_195|Yeah yeah, hello.
hi_196|Hi.
how are you_197|I've been better.
name_198|I'm Ralph. You already knew that.
house_199|I like my house. Don't ask why.
minecraft_200|Minecraft? Fine. Let's build something.
joke_201|I have a joke. Never mind.
temperature_202|I'm checking. Patience.
sleep_203|I'm tired. Goodnight.
wake_204|I was sleeping, you know.
dizzy_205|I told you to stop shaking me.
thank_206|You're welcome. Don't make it weird.
bye_207|See ya.
help_208|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_209|I live inside an ESP32. Obviously.
hello_210|Hi. What do you want?
hi_211|Yeah, hi.
how are you_212|I'm fine.
name_213|My name is Ralph.
house_214|Yes, that's my house.
minecraft_215|No creepers near my house. Seriously.
joke_216|Why did the ESP32 nap? Because you kept bothering it.
temperature_217|It's my chip temperature, not the room temperature.
sleep_218|Don't wake me unless you have to.
wake_219|Fine. I'm awake.
dizzy_220|Put me down for a second.
thank_221|Fine.
bye_222|Later. Don't break anything.
help_223|Ask me something useful.
what can you do_224|My SD card stores my chats, settings, and response database.
hello_225|Oh, it's you.
hi_226|Hello. I guess.
how are you_227|I'm doing alright.
name_228|I'm Ralph. You already knew that.
house_229|Don't touch my house.
minecraft_230|If you build my house, make it decent.
joke_231|Ha. Ha. Happy now?
temperature_232|My chip temperature is... give me a second.
sleep_233|Okay, I'm going to sleep.
wake_234|What woke me up?
dizzy_235|Everything is moving!
thank_236|Anytime.
bye_237|Bye. Finally.
help_238|I have an SD card full of my stuff.
what can you do_239|I live inside an ESP32. Obviously.
hello_240|Yeah, hi.
hi_241|Hey.
how are you_242|Could be better.
name_243|My name is Ralph.
house_244|My house. My rules.
minecraft_245|Fine. Minecraft.
joke_246|Here's a joke: you asking for another joke.
temperature_247|Checking temperature. Don't rush me.
sleep_248|Finally. Some peace and quiet.
wake_249|Okay, I'm up.
